scene_name,scene_avg_p,scene_avg_a,scene_avg_d,scene_avg_blur,scene_avg_optical_flow,scene_movie,paths
big_hero_625,68.46357256401909,8.830593560112845,79.80982020399306,665.7504408182966,0.0030530847143381834,big_hero_6,"['data\\scenes\\big_hero_6\\big_hero_6-Scene-25-0.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-25-1.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-25-2.jpg']"
big_hero_626,67.26947534179688,11.59903298611111,78.74268120659723,217.41373209830292,0.0,big_hero_6,"['data\\scenes\\big_hero_6\\big_hero_6-Scene-26-0.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-26-1.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-26-2.jpg']"
big_hero_627,83.63925747341578,16.274482869466144,98.11038579644098,538.0165459178874,0.004099428188055754,big_hero_6,"['data\\scenes\\big_hero_6\\big_hero_6-Scene-27-0.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-27-1.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-27-2.jpg']"
big_hero_628,71.77922037760416,11.691101277669269,83.94538818359376,919.9609236240974,,big_hero_6,"['data\\scenes\\big_hero_6\\big_hero_6-Scene-28-0.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-28-1.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-28-2.jpg']"
big_hero_629,64.28273402235243,12.975916341145833,75.45682921006944,567.9521589278304,0.019164487719535828,big_hero_6,"['data\\scenes\\big_hero_6\\big_hero_6-Scene-29-0.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-29-1.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-29-2.jpg']"
big_hero_63,70.18760112847222,46.98729671223958,86.0362406684028,179.86635925012183,0.0,big_hero_6,"['data\\scenes\\big_hero_6\\big_hero_6-Scene-3-0.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-3-1.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-3-2.jpg']"
big_hero_64,99.81786920844183,21.813134128146697,117.35392985026043,1389.1733049683478,0.004507037810981274,big_hero_6,"['data\\scenes\\big_hero_6\\big_hero_6-Scene-4-0.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-4-1.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-4-2.jpg']"
big_hero_65,45.45234772406684,51.15587900119357,58.01969840494792,193.40772243142064,0.0,big_hero_6,"['data\\scenes\\big_hero_6\\big_hero_6-Scene-5-0.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-5-1.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-5-2.jpg']"
big_hero_66,63.912106513129345,49.53574290635851,79.09398041449653,316.4984972648402,7.894590453361161e-06,big_hero_6,"['data\\scenes\\big_hero_6\\big_hero_6-Scene-6-0.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-6-1.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-6-2.jpg']"
big_hero_67,63.39557820638021,49.00443145073785,78.44019607204861,477.43001242168947,0.00046306493459269404,big_hero_6,"['data\\scenes\\big_hero_6\\big_hero_6-Scene-7-0.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-7-1.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-7-2.jpg']"
big_hero_68,99.64055310058593,52.68239080132378,120.5811099717882,216.5989917759579,0.021138926967978477,big_hero_6,"['data\\scenes\\big_hero_6\\big_hero_6-Scene-8-0.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-8-1.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-8-2.jpg']"
big_hero_69,72.9283242594401,50.30558315700954,89.5607318250868,260.3769364143828,0.0,big_hero_6,"['data\\scenes\\big_hero_6\\big_hero_6-Scene-9-0.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-9-1.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-9-2.jpg']"
cars_30,125.26365953233505,-16.79694439019097,142.36015668402777,416.0801462372096,0.0013824307825416327,cars_3,"['data\\scenes\\cars_3\\cars_3-Scene-0-0.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-0-1.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-0-2.jpg']"
cars_31,43.01577232530382,40.690982476128475,54.05100260416666,276.1974683479732,0.0,cars_3,"['data\\scenes\\cars_3\\cars_3-Scene-1-0.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-1-1.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-1-2.jpg']"
cars_310,114.90768672688802,13.396577406141494,133.79262592230904,491.04028619603804,0.018604526296257973,cars_3,"['data\\scenes\\cars_3\\cars_3-Scene-10-0.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-10-1.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-10-2.jpg']"
cars_311,93.35480662706163,21.941462714301213,109.92669232855901,1153.3429719694643,0.020843271166086197,cars_3,"['data\\scenes\\cars_3\\cars_3-Scene-11-0.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-11-1.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-11-2.jpg']"
cars_312,81.713765625,25.854203694661454,96.95824967447918,1735.9316683315485,0.08795273303985596,cars_3,"['data\\scenes\\cars_3\\cars_3-Scene-12-0.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-12-1.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-12-2.jpg']"
cars_313,87.71015148925783,31.28613917371962,104.46622390407987,1374.7474742642692,0.030781295150518417,cars_3,"['data\\scenes\\cars_3\\cars_3-Scene-13-0.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-13-1.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-13-2.jpg']"
cars_314,163.6329196234809,61.17253941514756,195.2049877387153,1647.8247742597425,0.0063402121886610985,cars_3,"['data\\scenes\\cars_3\\cars_3-Scene-14-0.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-14-1.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-14-2.jpg']"
cars_315,74.01273604329425,58.905770901150184,91.76528488498263,921.4764191120336,8.731310663279146e-05,cars_3,"['data\\scenes\\cars_3\\cars_3-Scene-15-0.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-15-1.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-15-2.jpg']"
cars_316,73.45808017306858,60.786966539171004,91.33576839192706,1234.544044597558,0.046962298452854156,cars_3,"['data\\scenes\\cars_3\\cars_3-Scene-16-0.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-16-1.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-16-2.jpg']"
cars_317,91.63543622504339,5.742469428168401,106.14639268663194,5255.479130459829,0.15725019574165344,cars_3,"['data\\scenes\\cars_3\\cars_3-Scene-17-0.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-17-1.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-17-2.jpg']"
cars_318,90.23285373263889,16.16243351236979,105.68972797309029,1056.2515657204547,0.1159859299659729,cars_3,"['data\\scenes\\cars_3\\cars_3-Scene-18-0.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-18-1.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-18-2.jpg']"
cars_319,89.84027376302083,-7.867011366102431,102.56666981336805,346.5579249850786,0.0013364885235205293,cars_3,"['data\\scenes\\cars_3\\cars_3-Scene-19-0.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-19-1.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-19-2.jpg']"
cars_32,159.93117065429684,-11.788378282335069,182.8327019314236,489.0379226277676,0.0,cars_3,"['data\\scenes\\cars_3\\cars_3-Scene-2-0.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-2-1.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-2-2.jpg']"
cars_320,89.0327663031684,30.53168370225694,105.90520551215279,3379.513324133002,0.1409546285867691,cars_3,"['data\\scenes\\cars_3\\cars_3-Scene-20-0.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-20-1.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-20-2.jpg']"
cars_321,83.99647591145833,48.39889930555555,102.09254340277778,986.4867292517811,0.08106046915054321,cars_3,"['data\\scenes\\cars_3\\cars_3-Scene-21-0.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-21-1.jpg', 'data\\scenes\\cars_3\\cars_3-Scene-21-2.jpg']"
