scene_name,scene_avg_p,scene_avg_a,scene_avg_d,scene_avg_blur,scene_avg_optical_flow,scene_movie,paths,predict
big_hero_625,68.4635725640191,8.830593560112845,79.80982020399307,665.7504408182966,0.0030530847143381834,big_hero_6,"['data\\scenes\\big_hero_6\\big_hero_6-Scene-25-0.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-25-1.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-25-2.jpg']",sad
big_hero_626,67.26947534179689,11.599032986111109,78.74268120659724,217.4137320983029,0.0,big_hero_6,"['data\\scenes\\big_hero_6\\big_hero_6-Scene-26-0.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-26-1.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-26-2.jpg']",sad
big_hero_627,83.63925747341578,16.274482869466144,98.11038579644098,538.0165459178874,0.004099428188055754,big_hero_6,"['data\\scenes\\big_hero_6\\big_hero_6-Scene-27-0.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-27-1.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-27-2.jpg']",sad
big_hero_628,71.77922037760416,11.691101277669267,83.94538818359376,919.9609236240974,,big_hero_6,"['data\\scenes\\big_hero_6\\big_hero_6-Scene-28-0.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-28-1.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-28-2.jpg']",sad
big_hero_629,64.28273402235243,12.975916341145833,75.45682921006944,567.9521589278304,0.019164487719535828,big_hero_6,"['data\\scenes\\big_hero_6\\big_hero_6-Scene-29-0.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-29-1.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-29-2.jpg']",sad
big_hero_63,70.18760112847222,46.98729671223958,86.03624066840281,179.86635925012183,0.0,big_hero_6,"['data\\scenes\\big_hero_6\\big_hero_6-Scene-3-0.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-3-1.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-3-2.jpg']",sad
big_hero_64,99.81786920844185,21.813134128146697,117.35392985026043,1389.1733049683478,0.0045070378109812745,big_hero_6,"['data\\scenes\\big_hero_6\\big_hero_6-Scene-4-0.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-4-1.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-4-2.jpg']",sad
big_hero_65,45.45234772406684,51.15587900119357,58.01969840494792,193.40772243142064,0.0,big_hero_6,"['data\\scenes\\big_hero_6\\big_hero_6-Scene-5-0.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-5-1.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-5-2.jpg']",fear
big_hero_66,63.91210651312935,49.53574290635851,79.09398041449653,316.4984972648402,7.894590453361161e-06,big_hero_6,"['data\\scenes\\big_hero_6\\big_hero_6-Scene-6-0.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-6-1.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-6-2.jpg']",sad
big_hero_67,63.395578206380215,49.00443145073785,78.44019607204861,477.4300124216895,0.00046306493459269404,big_hero_6,"['data\\scenes\\big_hero_6\\big_hero_6-Scene-7-0.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-7-1.jpg', 'data\\scenes\\big_hero_6\\big_hero_6-Scene-7-2.jpg']",sad
